Food_items,Breakfast,Lunch,Dinner,Diet,Sugar,BP,Cuisine,Calories,Fats(gm),Proteins(g),Iron(mg),Calcium(mg),Sodium(mg),Potassium(mg),Carbohydrates(gm),Fibre(gm),Vitamin D(mcg),Sugars(gm),TranslatedIngredients,TranslatedInstructions,,URL
Spicy & Tangy Goan Chicken Stew Recipe With Vegetables,0,0,1,Non Vegetarian,1,0,Goan Recipes,205,6,6.9,1.83,105.5,180.5,259,30.1,1.9,0,4.6,"500 grams Chicken - (preferably with bones),1 Onion - finely chopped,1 Tomato - finely chopped,4 Green Chillies - slit,2 Carrots (Gajjar) - chopped,2 Potato (Aloo) - peeled and diced,1/3 cup Green peas (Matar),1 inch Ginger - finely chopped,6 cloves Garlic - finely chopped,1 tablespoon Coriander Powder (Dhania),1-1/2 teaspoon Cumin powder (Jeera),1 tablespoon Black pepper powder,4 tablespoons Tamarind Paste,Salt - to taste,1 tablespoon Gingelly oil,Water - as required,1 teaspoon Red Chilli powder,1 teaspoon Salt,1 tablespoon Lemon juice","To begin making the Goan Chicken Stew recipe, firstly wash the chicken pieces well.To marinate the chicken, in a mixing bowl , addred chilli powder,salt,lime juice andchicken pieces. Mix well and let it sit inside the fridge for 1 hour.In a small bowl, dissolve the tamarind paste in 1-1/2 cups of water and keep aside.The next step is to make the tangy masala for the Chicken Stew.In a large wok, heat oil on medium heat, add finely chopped ginger and garlic pieces and cook for 2 minutes until raw smell is gone. Add finely chopped onions and green chilies cook till onions turn translucent. this will take about 5 minutes.Once the onions have softened, add the tomatoes and saute until it softens.Next add marinated chicken pieces and saute for about 5 minutes until the chicken is partially cooked.At this stage, add chopped carrots and potatoes and mix well.Add the spice powders - coriander powder,cumin powder,pepper powder and salt to taste.Stir well for a few minutes.Finally, add the green peas, tamarind water and any additional water and mix well. Cover theGoan Chicken Stew recipe and cook until chicken and vegetables are fully cooked. This will take a good 20 minutes to cook the chicken well.Once the Chicken Stew is done, check the salt and spices and adjust to suit your taste. Turn off the heat.Serve Goan Chicken Stew withGoan Style Sana Recipe (Soft Steamed Rice Cakes)orhotsteamed ricefor a perfect weekday meal.",,https://www.archanaskitchen.com/goan-chicken-stew-recipe
Karnataka Style Sabsige Soppu Paddu Recipe (Dill leaves Savory Fritters Recipe),1,0,0,Vegetarian,1,1,Karnataka,102,5.4,2.4,0.6,71.8,59.9,141.6,9.6,1.5,0,4.5,"2 cups Idli Dosa Batter,1 Onion - chopped,1 Green Chilli - chopped,1 sprig Curry leaves - chopped,1 teaspoon Cumin seeds (Jeera),1/2 cup Dill leaves - chopped,Salt - to taste,Sunflower Oil - for cooking","We begin making the Karnataka Style Sabsige Soppu Paddu Recipe (Dill leaves Savory Fritters Recipe) by mixing all the ingredients into the dosa batter.Heat a paniyaram pan, add ghee or oil in each depression and pour some batter into it. Cook the Sweet Paniyarams till they turn light brown from one side, then flip each paniyaram using a skewer and cook them the other side. Add ghee or oil as needed.Once cooked and they light brown from both sides, transfer them to a plate and serve hot.Serve the Karnataka Style Sabsige Soppu Paddu Recipe (Dill leaves Savory Fritters Recipe) along withTomato Onion Chutney  Thakkali Vengayam Chutneyand glass of coffee.",,https://www.archanaskitchen.com/karnataka-style-sabsige-soppu-paddu-recipe-dill-leaves-savory-fritters-recipe
Spicy Mexican Salsa Recipe - Tomato Salsa Recipe,0,1,0,Vegetarian,1,1,Mexican,113,2.3,5.2,23.4,8.1,242.6,74.4,17.9,2.1,0,2.6,"8 Tomatoes,1 Onion - finely chopped,2 Green Chillies - finel chopped,1/4 teaspoon Cumin powder (Jeera),Salt - to taste,1 teaspoon Sugar,Coriander (Dhania) Leaves - a small bunch finely chopped,1 tablespoon Tabasco Original - Hot Sauce","To begin making the Mexican Salsa Recipe, we will first cook the tomatoes in a pressure cooker. Half the tomatoes and place it in the pressure cooker along with 2 tablespoons of water. Allow it to pressure cook for 2 whistles.After 2 whistles, turn off the heat and allow the pressure to release naturally.Once the pressure releases, open the cooker, drain out the excess water and allow the tomatoes to cool completely.Once the tomatoes are cooled, peel the skin off the tomatoes and chop them fine.Place the chopped tomatoes in a mixing bowl. Add the onions, green chillies, salt, sugar, cumin powder, tabasco sauce and coriander leaves. Mix theMexican Salsa well to combine.Transfer the Mexican Salsa to a chip and dip bowl and the salsa is now ready to be served along with nacho chips.Serve the Spicy Mexican Salsaalong with crispy Nachos for a party or make aLoaded Veggie Nachos Recipe- top it with salsa, sour cream, rajma  cheese and serve for parties.Kids also will love this simply delicious salsa when added to the Loaded Nachos.",,https://www.archanaskitchen.com/video-recipe-spicy-mexican-salsa
 Pitor Ki Sabzi Recipe,0,1,0,Vegetarian,1,1,Rajasthani,93,3,2.2,0.5,14.7,2.7,28.3,14.1,0.1,0,5.6,"1-1 / 2 cup gram flour, 1/2 cup curd - well beat, 2-1 / 2 cup water, 1 teaspoon ginger - grated, 1/2 teaspoon turmeric powder, salt - as per taste, 1 Tablespoon oil, 1 teaspoon cumin seeds, 3/4 teaspoon green - crush, asafoetida, oil - as per use, 1 teaspoon cumin seeds, 2 dry red chillies, 200 grams curd - beat, 1/2 teaspoon green Chilli - chopped, 1 teaspoon red chilli powder, 1/2 teaspoon turmeric powder, salt - as per taste","To make Pitor vegetable recipe, we will first make Pitor. In a large bowl, add gram flour, curd, water, ginger, green chilli and mix well. Make the batter. Heat the oil in a pan. Add cumin seeds and let it splutter. After tempering, add asafetida and mix. Now add gram flour mixture and keep stirring so that there are no lumps. Cook until thickened and then turn off the gas. Now take this gram flour mixture in a plate. Keep in mind that grease the plate thoroughly with oil or ghee. Keep it aside for 1 hour and after cooling, grind it to a square. Now heat oil in a pan. Add Pitor to it and cook till it becomes brown and crisp. Remove and keep aside. Now to make curry, add yogurt, red chilli powder, turmeric powder, coriander powder and mix well. Heat oil in a pan. After the oil is hot, add cumin seeds and let it splutter. Now add dry red chilies and cook for 10 seconds. Now add green chilies and cook it for 10 seconds. Reduce the flame and add the curd mixture. Keep stirring and cook for 3 to 4 minutes. Now add water and let it boil. Add salt and cook for 15 minutes. Now add Pitor to it and cook it for the next 3 to 4 minutes. Turn off the gas and serve. Serve Pitor Ki Sabzi along with Burani Raita and Phulka for dinner.",,http://www.archanaskitchen.com/pitor-ki-sabzi-recipe-in-hindi
Beetroot Carrot Radish Salad Recipe - Radish & Beetroot Salad,1,1,1,Vegetarian,1,0,Indian,83,3,4,6,168,186,636,11,3,0,2,"2 Mooli/ Mullangi (Radish) - grated,2 Beetroots - grated,2 Carrots (Gajjar) - grated,3 tablespoons Roasted Peanuts (Moongphali),2 Green Chillies - finely chopped,2 teaspoons Lemon juice,Salt - to taste","To make the Indian Radish and Beetroot Salad Recipe, grate the radishes, carrots and beetroots and keep it ready .Transfer these grated vegetables-radishes, carrots and beetroots into a mixing bowl, along with the peanuts, green chilies, lemon juice and salt.Toss well and serve.Serve this Beetroot Gajar Mooli Salad Recipealong withAwadhi Style Dal Masoor Musallam RecipeandPhulka Recipe (Roti/Chapati) - Puffed Indian Breadfor a simple weeknight dinner.",,http://www.archanaskitchen.com/beetroot-gajar-mooli-salad-recipe-radish-beetroot-salad
Arbi Tomato Onion Sabzi (Recipe in Hindi) with Tomato Onion Arbi Vegetable Recipe,0,1,0,Vegetarian,1,1,North Indian Recipes,102,5.4,2.4,0.6,71.8,59.9,141.6,9.6,1.5,0,4.5,"12 arbi - finely chopped, 1 onion - chopped, 2 tomatoes - chopped, 1 teaspoon ginger garlic paste, asafetida - a pinch, 3/4 teaspoon turmeric powder, salt - as per taste, 3/4 teaspoon Red chili powder, 3/4 teaspoon garam masala powder, 2 green chillies - finely chopped, 3/4 teaspoon coriander powder, 2 dry red chillies, oil - as per use","To make tomato onion curry arabi vegetable, first wash and soak the arbi in salted water for 10 to 15 minutes. Drain and wash again. Dry it Now heat oil in a pan. Add arbi to it and cook till it becomes golden. Remove it on a paper towel and keep it aside. Heat a little more oil in the same pan. Add dry red chillies, asafetida, ginger, garlic paste and cook for 1 minute. Now add onion and cook till the onion becomes soft. Add turmeric powder, red chili powder, salt, coriander powder and garam masala powder. After 1 minute add tomatoes and green chilies and cook it for 3 minutes. Now add arbi to it and mix well. Cover the pan and cook it for 6 to 8 minutes. Serve hot. Serve the tomato onion arbi vegetable along with boondi raita and phulka for dinner.",,http://www.archanaskitchen.com/arbi-tomato-onion-sabzi-recipe-spicy-colocasia-stir-fry-in-hindi
Chocolate Flavoured 7 Cup Burfi Recipe,0,1,1,Vegetarian,0,1,North Indian Recipes,350,4.4,11.5,0.66,29.14,23,323,67.2,10.5,0,15.8,"1 cup Gram flour (besan),1-3/4 cup Sugar - (you can use 2 cups if you like it very sweet),1 cup Ghee,1 cup Milk,1 cup Fresh coconut,1/2 cup Cocoa Powder,1/2 cup Cashew nuts - powdered,Cashew nuts - Handful for decoration,Cardamom (Elaichi) Pods/Seeds - crushed or cinnamon powder for flavour (optional)","To begin making the Chocolate 7 Cup Burfi recipe, first grease a baking pan or a steel plate with ghee.Mix all the ingredients in a large non stick pan/ wok and place it on medium heat.Stir to mix all the ingredients together. Remove lumps if any using the back of the spoon.Cook the mixture on low to medium flame, stirring continuously.Cook till the mixture thickens and comes together as one mass (about 25-30 minutes).Take out the mixture into the greased plate and press with the back of the spoon or use a foil to spread it uniformly and level the surface.With a sharp knife etch square or diamond shapes in the mixture.Place cashew nuts halves or pieces in the centre of each piece and press.Cool completely and then cut into pieces.Store in an airtight container. Refrigerate if keeping for a longer duration.ServeChocolate Flavoured 7 Cup Burfias a dessert after a simple and delicious meal ofSouth Indian Style Vegetable Kurma,Steamed RiceandElai Vadam.",,https://www.archanaskitchen.com/chocolate-flavoured-7-cup-burfi-recipe
Whole Wheat Roasted Vegetable Pizza Pockets Recipe,0,0,1,Vegetarian,1,0,Continental,325,5.5,52.1,8.83,228.62,863.6,719.3,13.6,2.9,0,0.5,"1 Yellow Zucchini - cubed,1 Green zucchini - cubed,1 Yellow Bell Pepper (Capsicum) - diced,1 Red Bell pepper (Capsicum) - diced,1 Onion - roughly cut,Sea salt - to taste,Black pepper powder - to taste,1 teaspoon Dried oregano,1 teaspoon Dried basil leaves,1 teaspoon Red Chilli flakes,Extra Virgin Olive Oil - for drizzling,3-1/2 Whole Wheat Flour - 1/2 cup more,3 tablespoon Extra Virgin Olive Oil,10 grams Active dry yeast,1 tablespoon Sugar,1/2 cup Milk,1/2 cup Water -  1-1/2 cup more,2 teaspoon Dried basil leaves,Mozzarella cheese - grated as required,Homemade Pizza And Pasta Sauce - as required,Italian seasoning - as required","To begin making the Whole Wheat Roasted Vegetable Pizza Pockets Recipe, first preheat the oven at 200 degrees C for 20 minutes.Then, proceed to prep the vegetables for roasting. In a bowl, combine together green and yellow zucchini, yellow and red pepper, onion, oregano, basil and liberally drizzle the olive oil.Toss the veggies thoroughly until they are all well coated with the herbs and oil. Pour them onto a lined baking sheet and spread them out evenly.Season with sea salt and black pepper. Place the sheet in the oven to roast, for 20 minutess.When the vegetables are roasted, take them out and set aside to cool. Then, mix a teaspoon full of chilli flakes into the roasted vegetables and keep it aside for later use.To prepare the pizza dough warm together 1/2 cup of water and 1/2 cup of milk. It should be slightly warm, not scalding.In a large bowl, add warm water milk mixture and sugar. Mix well. Add 1/2 cup of flour and instant yeast. Mix to form a paste.Cover with a cling film and keep it in a warm place for an hour. The mixture will become frothy after an hour.In the same bowl, add 3 tablespoon of olive oil, basil, oregano, salt, 3-1/2 cup flour, 1-1/2 cup of water. Mix everything and start kneading the mixture until it comes together in to a manageable dough.Once the mixture forms a dough, transfer it on a clean counter and knead the dough with the heels of your palm for 8 to 10 mins. The dough will become soft, pliable and manageable.Oil the dough and place it in a large bowl. Cover with a cling wrap or damp kitchen towel and keep it in a warm place for 1-1/2 to 2 hours to rise.The dough will double in size and rise during this time. After that punch punch the dough down, transfer it on to the counter and knead it for another 2 to 3 mins. If the dough is sticky, you can dust it with flour. Divide the dough into six equal parts. Take one part and roll it out into a disc of about 13 to 14 inches of diameter with the thickness of approximately 6 to 7 mm.Now, depending upon the size and shape of the pizza pockets you prefer, cut out smaller circles from the rolled disc. I preferred making them circles of 3 to 4 inches of diameter.Take one cut circle, spread a teaspoon pizza sauce over it. Place a teaspoon of roasted vegetables over the sauce and top with grated mozzarella.Sprinkle little Italian seasoning on top. The sauce, stuffing and cheese quantity will vary based on the size and shape of pocket you choose but remember to do it just right, do not overfill or under fill it.Please ensure that you place the filling in the centre such that you leave 1 cm space at the edges to fold.Place another cut circle on top of the stuffing such that it is completely covered and press the edges to seal it well either using a fork or twist with fingers to form a pattern.Gently snip a small hole on the top to allow the steam from the filling to flow out when baked. Make all the pockets in the same way.Gently place these prepared pizza pockets on a baking tray lined with parchment paper.When the dough is finished, bake these pockets in a pre-heated oven at 200 degrees centigrade for 12-15 mins or until they are light golden brown and baked well.Take them out of the oven and serve warm.Serve theWhole Wheat Roasted Vegetable Pizza Pocketsalong with other appetisers such asMustard Mayo Baby PotatoesandKFC Style Crispy Chicken Popcornfor your house parties with a glass of wine or chilled beer.",,http://www.archanaskitchen.com/whole-wheat-roasted-vegetable-pizza-pockets-recipe
Saunf Wali Hari Gobi Sabzi (Recipe In Hindi),0,1,0,Vegetarian,1,0,North Indian Recipes,164,1.3,7.8,0.93,25.38,19.2,273.6,30.8,3.6,0,1.1,"1 cabbage - chop, 1 teaspoon fennel, 1 ginger, 2 tomatoes - finely chopped, 2 bay leaves, 1/2 cup green chutney, 1/2 cup curd, 1/2 teaspoon turmeric powder, 1 teaspoon coriander Powder, salt, red chili powder, oil - as per use","To make fennel green cabbage vegetable, firstly make green chutney (coriander mint chutney). Keep it aside. Heat oil in pan. Add fennel, ginger, bay leaves and cook for 10 seconds. Now add tomatoes, turmeric powder, coriander powder, red chili powder and mix. Now add curd, green chutney and salt. Mix well. Now add cabbage and mix it. Cover the pan and cook until the cauliflower is cooked. It will take 5 to 8 minutes. After cooking, turn off the gas and serve. Serve the fennel green cabbage with pudding dal and phulka for dinner.",,http://www.archanaskitchen.com/saunf-wali-hari-gobi-sabzi-recipe-cauliflower-spiced-with-fennel-and-green-chutney-in-hindi
Navrang Dal Recipe ( Spicy Mixed Lentils),0,1,0,Vegetarian,1,1,North Indian Recipes,88.1,1,4.1,0.28,112.37,154.5,114.2,17.2,2.3,5.8,3.8,"2 tablespoons Green Moong Dal (Whole),2 tablespoons White Urad Dal (Split),2 tablespoons Black Urad Dal (Whole),2 tablespoons Pink Masoor Dal (Split),2 tablespoons Masoor Dal (Whole),2 tablespoons Rajma (Large Kidney Beans),2 tablespoons Kabuli Chana (White Chickpeas),1/4 cup Yellow Moong Dal (Split) - (soak for 20 minutes),1 tablespoon Arhar dal (Split Toor Dal) - (soak for 20 minutes),1 Onion - finely chopped,1 Tomato - finely chopped,1 tablespoon Ginger Garlic Paste,1 Green Chilli - slit,2 teaspoons Coriander Powder (Dhania),1 teaspoon Red Chilli powder,2 teaspoons Garam masala powder,1 tablespoon Kasuri Methi (Dried Fenugreek Leaves),1 inch Ginger - cut to julienned for garnish,2 tablespoons Ghee,1 Cinnamon Stick (Dalchini),1 teaspoon Cumin seeds (Jeera),Salt - to taste","To begin making Navrang Dal (spicy Mixed Lentils) Recipe soak all the dals except split moong and toor dal overnight. In the morning pressure cook everything together till its cooked. Mash the cooked dal gently and keep it aside.Heat a big wok on medium flame, pour oil or ghee, a stick of cinnamon and cumin seeds and let it splutter.To this add the onions and saut till it turns light brown.Add the ginger garlic paste and cook until the raw smell of the paste goes away.Now add the chopped tomatoes and slit green chilli and cook until the tomatoes are half done.Add the coriander, red chilli, and garam masala powder and give it a mix and cook until the ghee or oil separates out.Now add the cooked mashed dal to this, season with salt, add the required amount of water and let it simmer for ten minutes.Now gently crush the kasuri methi between your palms and put it over the dal.Bring it to a boil, switch off the flame and garnish with the ginger julienned.Your Navang Dal is ready to be served, serve it with Laccha Paratha or Peas Pulao for a weeknight dinner.",,http://www.archanaskitchen.com/navrang-dal-recipe-spicy-mixed-lentils
Suran Kebab Masala Recipe - Yam In Tomato Onion Gravy,0,1,0,Vegetarian,1,0,North Indian Recipes,156,13,7.1,1.3,51.3,4.4,57.6,2.7,0.5,0,4.2,"300 grams Elephant yam (Suran/Senai/Ratalu),2 tablespoons Kebab Masala - store bought.,2 Onions - finely chopped,3/4 cup Homemade tomato puree,6 cloves Garlic - pounded,1 inch Ginger - pounded,1 Green Chilli - pounded,2 teaspoons Red Chilli powder,1/4 teaspoon Turmeric powder (Haldi),2 teaspoons Coriander Powder (Dhania),1 teaspoon Cumin powder (Jeera),1/2 teaspoon Garam masala powder,2 tablespoons Curd (Dahi / Yogurt),Sunflower Oil - as required,Salt - to taste","To begin making theSuran Kebab MasalaRecipe, firstly peel the yam and cut into 1 inch cubes. Wash the suran well and drain the water. Pat dry the suran with absorbent paper.Transfer the suran pieces to a bowl, along with salt and kebab masala. Mix and coat all the pieces well. Allow to sit for 10 minutes.Heat oil in a heavy bottomed pan, on medium heat to deep fry the Suran Kebabs.Gently slide the Suran pieces from the side of the kadai and deep fry until crisp nd golden brown, stirring occasionally. This will take about 8-10 minutes. Drain the Suran Kebabs on absorbent paper and set aside.Now, in a pressure cooker add 1 teaspoon of oil and heat this on medium flame.Add finely chopped onions, saute till golden brown, for about 4-6 minutes. Next add ginger, garlic and green chilli paste. Mix well.At this stage, add red chilli powder and tomato puree. Cook well until oil separates. This will take about 3 to 4 minutes.Now add all the other dry masala powders including turmeric powder,coriander powder, cumin powder, garam masala powder and stir well. Let it cook for about 2 minutes.After 2 minutes, add the Suran Kebabs to this gravy, along with curd and salt. Mix everything well.Add water to adjust the consistency. Pressure cook for 2 whistles and allow the pressure to release naturally.Open the cooker, give it a stir and garnish with coriander leaves.ServeSuran Kebab Masala Recipe along withPalak Raita,Panchmel DalandPhulkafor a weekend meal.",,http://www.archanaskitchen.com/suran-kebab-masala-recipe-yam-in-tomato-onion-gravy
No Bake Poha & Millets Chocolate Tart With Strawberry Cheese Recipe,0,1,1,Vegetarian,0,1,Fusion,450,7.8,5,1.02,6.78,89.1,109.7,19.8,1.8,1.6,18,"1 cup Poha (Flattened rice),1/2 cup Barnyard Millet,1/2 cup Badam (Almond),1/2 cup Cashew nuts,3/4 cup Jaggery - grated,50 grams Dark chocolate - lindt,Chocolate pearls - for garnish,1/2 cup Hung Curd (Greek Yogurt) - (1/2 cup full fat yogurt strained overnight on a cheesecloth),150 grams Britannia Cream Cheese,10 Strawberries - pureed,1/4 cup Sugar","To begin with No Bake Poha  Millets Chocolate Tart With Strawberry Cheese, dry roast poha, barnyard millet, almonds and cashew-nutsin a cast iron pan separately. Once done, let it cool down completely.In a mixer, take poha and barnyard millet together and powder them both finely. To this fine powder add the nuts and start pulsing. Halfway through, add the jaggery and melted chocolate and pulse again until the mixture comes together.Transfer the mixture to the tart pan with a removable bottom, press it down tightly. Cling wrap and refrigerate it for a minimum of 2-3 hours.The next step is to prepare the filling. Mix curd cheese and cream cheese together and whisk it until it becomes soft and fluffy. To this fluffy cheese, add pureed strawberry and whisk the mixture again until it turns smooth.Remove the tart from the refrigerator and pour the strawberry cheese on top. Tap the pan for the cheese to settle. Cling-wrap and refrigerate for about 4-5 hours more for the cheese to set.After 4-5 hours, remove the tart from the refrigerator. Slowly remove the bottom by pushing it from the bottom, the outer ring will slip through your left hand.Remove the tart onto a serving plate, drizzle chocolate sauce and decorate it with strawberry and chocolate pearls.Serve the No Bake Poha  Millets Chocolate Tart With Strawberry Cheese as aDessertafter your weekend dinner party.",,https://www.archanaskitchen.com/no-bake-poha-millets-chocolate-tart-with-strawberry-cheese-recipe
Paneer Sizzler Recipe In Chilli Garlic Sauce With Rice,0,1,1,Vegetarian,1,1,Continental,208.7,1.9,12.5,2.5,31.96,494,1299.7,36.2,3.8,0,4.3,"1 teaspoon Sesame (Gingelly) Oil,4 cloves Garlic - finely chopped or grated,2 Blanched tomatoes - pureed,3 teaspoons Red Chilli sauce,2 cups Water,2 teaspoons Corn flour - mix with 2 tablespoon cornflour,1 teaspoon Sugar,1/4 cup Mixed vegetables - chopped,Salt - to taste,1 cup Basmati rice - soak for 30 minutes,1 Onion - finely chopped,1 Carrot (Gajjar) - finely chopped,5-6 Green beans (French Beans) - finely chopped,1/4 cup Red Yellow and Green Bell Peppers (Capsicum) - finely chopped,2 Green Chillies - finely chopped (adjust),1 teaspoon Ginger Garlic Paste,2 teaspoons Sesame (Gingelly) Oil,Salt - to taste,200 grams Paneer (Homemade Cottage Cheese) - cubed,1 Onion - diced,1 Carrot (Gajjar) - diced  blanched,1 Tomato - deeseeded  diced,1/2 Cauliflower (gobi) - cut to florets  blanched,1/4 cup Sweet corn - blanched,7 Green beans (French Beans) - cut to 3 inch pieces,2 teaspoons Sunflower Oil,1/2 teaspoon Whole Black Peppercorns - pounded,Salt - to taste,1/4 cup Spring Onion Greens - finely chopped,Cabbage (Patta Gobi/ Muttaikose) - few leaves,1 teaspoon Butter","To begin making the Paneer Sizzler Recipe In Chilli Garlic Sauce With Rice, we will first roast the vegetablesHeat a wide pan with oil and roast the paneer till it is golden brown on both sides. Remove from pan and keep aside. Next in the same pan add the carrots, cauliflower, onions, green beans, salt and pepper and saute for a few minutes on high till they are nearly done. At this stage add the tomatoes and corn and saute till the vegetables are done and well roasted. They vegetables should still have a bite to them and yet be cooked.Once done turn off the heat and keep them aside.To make the Chilli garlic sauceHeat a pan over low flame and add garlic.Saute for 1-2 minutes or till the garlic is light brown and immediately add the chopped vegetables like the onions, carrots, green beans, green chillis and saute for three to four minutes till the vegetables are cooked.Once the vegetables are cooked, add the tomato puree, sugar, salt and allow the mixture to cook for 3-4 minutes over low flame.Now add water and the corn flour mixture.Once the mixture thickens, switch off and garnish with some spring onion leaves.To make the riceHeat a pan with oil.Add the ginger garlic paste, green chillies and fry for 1 minute over medium flame.Add the chopped vegetables and give it a good mix.Once the vegetables are cooked, add the rice , salt and mix well to combine.Switch off and garnishTo assemble the sizzlerGrease the sizzler pan with butter.Line the pan with cabbage leaves.Place the pan on the gas stove over low heat.As the sizzler pan is heating, arrange the roasted vegetables, and rice.Heat the chilli garlic sauce and when the pan is screaming hot , pour it over the paneer and roasted vegetables.Switch off the gas and add a 1/2 teaspoon of melted butter on the sides of the pan and this will help it to sizzle.Carefully lift the sizzler pan and place it on the wooden board ( part of the sizzler pan) and serve it to your family.Serve Paneer Sizzler Recipe In Chilli Garlic Sauce With Rice along withPomegranate Frozen MargaritaandChocolate Salted Caramel Tart Recipefor a lovely party meal.",,http://www.archanaskitchen.com/paneer-sizzler-recipe-in-chilli-garlic-sauce-with-rice
Whole Wheat Black Forest Cake In A Jar Recipe (Eggless),0,1,1,Vegetarian,0,1,Continental,380,18,3.9,0.64,3.87,815.8,95.4,49.5,2.4,0,19.5,"2 tablespoon Butter - melted,2-1/2 tablespoon Curd (Dahi / Yogurt),5 tablespoons Milk,3-1/2 tablespoons Whole Wheat Flour,3 tablespoons Caster Sugar,1/2 teaspoon Baking powder,Baking soda - a pinch,1 tablespoon Cocoa Powder,1 tablespoon Chocolate chips,1/2 cup Water,1 cup Strawberries - finely chopped,3 tablespoons Sugar,200 ml Heavy whipping cream,4 tablespoons Caster Sugar,2 teaspoons Vanilla Extract,Strawberries - sliced,Chocolate chips - as required","To begin making the Whole Wheat Black Forest Cake In A Jar recipe, firstly we will make the eggless chocolate whole whaet cake.In a microwave safe bowl, add butter, curd, milk, whole wheat flour, caster sugar, baking powder, baking soda and cocoa powder and mix it well using whisk.Sprinkle some chocolate chips and bake it for 20 minutes into preheated microwave at 180 degrees.Once cake has cooled, cut cake into tiny rounds and keep them aside.The next step is to make the strawberry syrup.In a saucepan, add in strawberries, water and sugar and toss it.Place saucepan on low heat until sugar begin to melt.Continue to stir until sauce it becomes very thick, about 4 minutes.Remove from heat cool completely and keep it aside.Now we will make the whipping cream.Whip heavy whipping cream, sugar and vanilla on high until stiff peaks form.Refrigerate until ready to use.The last step is to assemble the cake in the jar.Choose any medium sized jar. Stuff the jar first with chocolate cake piece.Add about 2 tablespoons strawberry syrup on top of cake piece (it will most likely soak through the cake as opposed to just sitting on top.Add strawberry slices.Top with whipped cream and chocolate chips.Repeat the steps 1-3 until jar is full and topped with whip cream.Garnish it with some chocolate chips, strawberry slices.Cover and refrigerate until ready to serve. Will stay fresh in refrigerator for about 4 days.ServeWhole Wheat Black Forest Cake In A Jar as a dessert after your meal or make them for your kids birthday parties.",,https://www.archanaskitchen.com/whole-wheat-black-forest-cake-in-a-jar-recipe-eggless
Aratikaya Masala Pulusu Recipe - Raw Banana Stir Fry,0,1,0,Vegetarian,1,1,Andhra,150,5,5.4,5.6,26,2.5,1.6,40.2,5.8,0,1.2,"1 Raw Banana - skin peeled and cut into small cubes,1 teaspoon Mustard seeds,1 sprig Curry leaves,1 tablespoon Red Chilli powder,1/2 teaspoon Turmeric powder (Haldi),1/2 cup Tamarind Water,1 inch Ginger,4 cloves Garlic,1 tablespoon Rice","To begin making the Aratikaya Masala Pulusu Recipe, peel the skin off the raw banana and cut them into small pieces. Keep water over a saucepan and bring it to boil.Add the chopped raw banana, turmeric powder, salt and boil for about 10 minutes.Strain the water and keep the banana aside. Grind ginger, garlic and rice with little water to a coarse paste and keep it aside.Heat a kadai with oil, add the mustard seeds and allow it to splutter for few seconds.Add the curry leaves and let it crackle for 10 seconds and add cooked raw banana along with the ground paste. You can add red chilli powder and salt also and give it a stir.Once that is done, add the tamarind water and leave it simmer for 5 minutes until the water is all evaporated.Serve theAratikaya Masala Pulusu RecipewithSteamed RiceandDosakaya Pappu Recipeto create a satisfying meal.",,http://www.archanaskitchen.com/aratikaaya-masala-pulusu-recipe-raw-banana-stir-fry-recipe
 Kashmiri Kesar Pulao Recipe,0,1,1,Vegetarian,1,1,Kashmiri,208.7,1.9,12.5,2.5,31.96,494,1299.7,36.2,3.8,0,4.3,"1-1 / 2 cup rice, 1/4 tsp saffron, 2 tbsp milk, 1/2 tsp cumin seeds, 1/2 tsp fennel, 1 inch cinnamon, 2 long, salt - 2 tbsp ghee, as per taste","To make kashmiri saffron pulao recipe, first wash the rice and soak it in water for 15 minutes. After 15 minutes, drain the water and keep it aside. Pour milk in a saucepan and heat it for 1 minute. Add saffron to it and keep it aside. Heat the ghee in a pressure cooker. Add cumin, fennel, cinnamon and long and cook till the cumin seeds crackle. Now add rice, 3 cups of water, salt to taste, saffron milk and mix well. Close the cooker and cook until 2 to 3 cities come. Turn off the gas. Let the pressure drain automatically. Open, mix and serve cookers. Serve the Kashmiri Saffron Pulao Recipe along with kashmiri rogan josh and lotus stem cutlet for dinner.",,http://www.archanaskitchen.com/kashmiri-kesar-pulao-saffron-fennel-rice-recipe-in-hindi
